#        time                area                spin                 c_x                 c_y                 c_z
   14.6250000    1.3795118613e+01    6.8367976188e-02    1.2554948724e+02    1.2645058978e+02    1.2800000000e+02
   14.7500000    1.3795801697e+01    6.9489843652e-02    1.2556093572e+02    1.2643717891e+02    1.2800000000e+02
   14.8750000    1.3795735191e+01    7.0212882707e-02    1.2557253375e+02    1.2642385981e+02    1.2800000000e+02
   15.0000000    1.3794624828e+01    7.1279476318e-02    1.2558424749e+02    1.2641069902e+02    1.2800000000e+02
   15.1250000    1.3793779027e+01    7.3082744755e-02    1.2559603681e+02    1.2639763087e+02    1.2800000000e+02
   15.2500000    1.3794106849e+01    7.5065079532e-02    1.2560789959e+02    1.2638451778e+02    1.2800000000e+02
   15.3750000    1.3794668818e+01    7.7001000880e-02    1.2561981723e+02    1.2637135566e+02    1.2800000000e+02
   15.5000000    1.3795149214e+01    7.9009906678e-02    1.2563176837e+02    1.2635828247e+02    1.2800000000e+02
   15.6250000    1.3795417525e+01    8.0943809681e-02    1.2564380332e+02    1.2634536487e+02    1.2800000000e+02
   15.7500000    1.3795283447e+01    8.2892645986e-02    1.2565593696e+02    1.2633254261e+02    1.2800000000e+02
   15.8750000    1.3795248672e+01    8.5105535125e-02    1.2566813317e+02    1.2631974521e+02    1.2800000000e+02
   16.0000000    1.3795339415e+01    8.7374192883e-02    1.2568040078e+02    1.2630698995e+02    1.2800000000e+02
   16.1250000    1.3795315168e+01    8.9795042122e-02    1.2569274886e+02    1.2629439153e+02    1.2800000000e+02
   16.2500000    1.3795548249e+01    9.2376659306e-02    1.2570516095e+02    1.2628199086e+02    1.2800000000e+02
   16.3750000    1.3795832603e+01    9.4754975022e-02    1.2571765407e+02    1.2626963226e+02    1.2800000000e+02
   16.5000000    1.3796123605e+01    9.6998537660e-02    1.2573024166e+02    1.2625713689e+02    1.2800000000e+02
   16.6250000    1.3796636129e+01    9.9401040268e-02    1.2574292139e+02    1.2624452209e+02    1.2800000000e+02
   16.7500000    1.3796895097e+01    1.0202084445e-01    1.2575569264e+02    1.2623195756e+02    1.2800000000e+02
   16.8750000    1.3797089776e+01    1.0466451030e-01    1.2576854993e+02    1.2621953717e+02    1.2800000000e+02
   17.0000000    1.3797559763e+01    1.0707435337e-01    1.2578150398e+02    1.2620725846e+02    1.2800000000e+02
   17.1250000    1.3798091604e+01    1.0920082212e-01    1.2579454874e+02    1.2619510103e+02    1.2800000000e+02
   17.2500000    1.3798635185e+01    1.1126910686e-01    1.2580768698e+02    1.2618304953e+02    1.2800000000e+02
   17.3750000    1.3799074769e+01    1.1340275773e-01    1.2582093320e+02    1.2617108671e+02    1.2800000000e+02
   17.5000000    1.3799533431e+01    1.1567828158e-01    1.2583428720e+02    1.2615922502e+02    1.2800000000e+02
   17.6250000    1.3799942176e+01    1.1796026420e-01    1.2584775236e+02    1.2614746201e+02    1.2800000000e+02
   17.7500000    1.3800550642e+01    1.1999859751e-01    1.2586132499e+02    1.2613578749e+02    1.2800000000e+02
   17.8750000    1.3801149806e+01    1.2170600133e-01    1.2587499722e+02    1.2612419048e+02    1.2800000000e+02
   18.0000000    1.3801540586e+01    1.2318262731e-01    1.2588877039e+02    1.2611267806e+02    1.2800000000e+02
   18.1250000    1.3802038010e+01    1.2461746060e-01    1.2590264607e+02    1.2610126546e+02    1.2800000000e+02
   18.2500000    1.3802713889e+01    1.2615117810e-01    1.2591661013e+02    1.2608993262e+02    1.2800000000e+02
   18.3750000    1.3803394097e+01    1.2775192113e-01    1.2593064553e+02    1.2607865819e+02    1.2800000000e+02
   18.5000000    1.3804111408e+01    1.2930963900e-01    1.2594477899e+02    1.2606745045e+02    1.2800000000e+02
   18.6250000    1.3804786404e+01    1.3071991338e-01    1.2595903365e+02    1.2605631160e+02    1.2800000000e+02
   18.7500000    1.3805606438e+01    1.3190996259e-01    1.2597339751e+02    1.2604523461e+02    1.2800000000e+02
   18.8750000    1.3806660738e+01    1.3287855121e-01    1.2598787505e+02    1.2603422133e+02    1.2800000000e+02
   19.0000000    1.3807690824e+01    1.3368720299e-01    1.2600247979e+02    1.2602327561e+02    1.2800000000e+02
   19.1250000    1.3808577800e+01    1.3442213694e-01    1.2601721176e+02    1.2601240494e+02    1.2800000000e+02
   19.2500000    1.3809534056e+01    1.3512050684e-01    1.2603207483e+02    1.2600162045e+02    1.2800000000e+02
   19.3750000    1.3810592032e+01    1.3565747447e-01    1.2604708041e+02    1.2599092518e+02    1.2800000000e+02
   19.5000000    1.3811312524e+01    1.3593043284e-01    1.2606222209e+02    1.2598031704e+02    1.2800000000e+02
   19.6250000    1.3811958204e+01    1.3601172149e-01    1.2607748399e+02    1.2596979686e+02    1.2800000000e+02
   19.7500000    1.3813054004e+01    1.3600390861e-01    1.2609286877e+02    1.2595935357e+02    1.2800000000e+02
   19.8750000    1.3814576546e+01    1.3590186226e-01    1.2610839026e+02    1.2594898483e+02    1.2800000000e+02
   20.0000000    1.3815722267e+01    1.3562793054e-01    1.2612400705e+02    1.2593872088e+02    1.2800000000e+02
   20.1250000    1.3816702805e+01    1.3525284582e-01    1.2613969487e+02    1.2592860999e+02    1.2800000000e+02
   20.2500000    1.3818009291e+01    1.3476621428e-01    1.2615545549e+02    1.2591862704e+02    1.2800000000e+02
   20.3750000    1.3819384389e+01    1.3418134550e-01    1.2617129520e+02    1.2590873910e+02    1.2800000000e+02
   20.5000000    1.3820508063e+01    1.3355336994e-01    1.2618721624e+02    1.2589897039e+02    1.2800000000e+02
   20.6250000    1.3821611854e+01    1.3284398166e-01    1.2620323292e+02    1.2588932268e+02    1.2800000000e+02
   20.7500000    1.3822892555e+01    1.3202721989e-01    1.2621936233e+02    1.2587974164e+02    1.2800000000e+02
   20.8750000    1.3824258212e+01    1.3115090143e-01    1.2623560249e+02    1.2587020533e+02    1.2800000000e+02
   21.0000000    1.3825512641e+01    1.3023018351e-01    1.2625194435e+02    1.2586075793e+02    1.2800000000e+02
   21.1250000    1.3826657822e+01    1.2920386085e-01    1.2626837386e+02    1.2585144654e+02    1.2800000000e+02
   21.2500000    1.3827803252e+01    1.2812944086e-01    1.2628487094e+02    1.2584227323e+02    1.2800000000e+02
   21.3750000    1.3828856191e+01    1.2705310047e-01    1.2630143581e+02    1.2583322234e+02    1.2800000000e+02
   21.5000000    1.3829981713e+01    1.2605223623e-01    1.2631805413e+02    1.2582428915e+02    1.2800000000e+02
   21.6250000    1.3831365994e+01    1.2514609654e-01    1.2633473198e+02    1.2581547271e+02    1.2800000000e+02
   21.7500000    1.3832650072e+01    1.2422535071e-01    1.2635148882e+02    1.2580677195e+02    1.2800000000e+02
   21.8750000    1.3833796059e+01    1.2325729934e-01    1.2636831862e+02    1.2579819195e+02    1.2800000000e+02
   22.0000000    1.3835043187e+01    1.2230928634e-01    1.2638521794e+02    1.2578973705e+02    1.2800000000e+02
   22.1250000    1.3836372680e+01    1.2146556627e-01    1.2640220417e+02    1.2578141584e+02    1.2800000000e+02
   22.2500000    1.3837464046e+01    1.2070082372e-01    1.2641930757e+02    1.2577324219e+02    1.2800000000e+02
   22.3750000    1.3838245830e+01    1.1996490036e-01    1.2643652761e+02    1.2576522913e+02    1.2800000000e+02
   22.5000000    1.3838998969e+01    1.1928137553e-01    1.2645383482e+02    1.2575737099e+02    1.2800000000e+02
   22.6250000    1.3839927348e+01    1.1869799294e-01    1.2647120131e+02    1.2574963548e+02    1.2800000000e+02
   22.7500000    1.3841185688e+01    1.1825167828e-01    1.2648862164e+02    1.2574199164e+02    1.2800000000e+02
   22.8750000    1.3842769475e+01    1.1788015971e-01    1.2650611700e+02    1.2573443136e+02    1.2800000000e+02
   23.0000000    1.3844385662e+01    1.1750166791e-01    1.2652370124e+02    1.2572697092e+02    1.2800000000e+02
   23.1250000    1.3845934860e+01    1.1710642641e-01    1.2654135899e+02    1.2571963568e+02    1.2800000000e+02
   23.2500000    1.3847603486e+01    1.1670565240e-01    1.2655908059e+02    1.2571244435e+02    1.2800000000e+02
   23.3750000    1.3848989523e+01    1.1627409773e-01    1.2657687785e+02    1.2570540159e+02    1.2800000000e+02
   23.5000000    1.3849881249e+01    1.1591614967e-01    1.2659473485e+02    1.2569849683e+02    1.2800000000e+02
   23.6250000    1.3850372754e+01    1.1569488902e-01    1.2661266926e+02    1.2569172873e+02    1.2800000000e+02
   23.7500000    1.3850880151e+01    1.1565827442e-01    1.2663068181e+02    1.2568507889e+02    1.2800000000e+02
   23.8750000    1.3851720091e+01    1.1577540680e-01    1.2664877086e+02    1.2567853302e+02    1.2800000000e+02
   24.0000000    1.3853118878e+01    1.1595172126e-01    1.2666692404e+02    1.2567209018e+02    1.2800000000e+02
   24.1250000    1.3854878036e+01    1.1618119804e-01    1.2668513998e+02    1.2566575763e+02    1.2800000000e+02
   24.2500000    1.3856411628e+01    1.1648637104e-01    1.2670342492e+02    1.2565954878e+02    1.2800000000e+02
   24.3750000    1.3857573399e+01    1.1688615743e-01    1.2672177305e+02    1.2565348575e+02    1.2800000000e+02
